,precision,recall,f1-score,support
blues,0.23636363636363636,0.11231101511879049,0.15226939970717424,926.0
country,0.3393200769724182,0.47105966162065893,0.3944817300521999,1123.0
hip hop,0.08424242424242424,0.702020202020202,0.15043290043290045,198.0
jazz,0.1925233644859813,0.1409028727770178,0.1627172195892575,731.0
pop,0.3844221105527638,0.10944206008583691,0.17037861915367483,1398.0
reggae,0.2838541666666667,0.21165048543689322,0.24249165739710793,515.0
rock,0.23413258110014104,0.21173469387755103,0.22237106496985934,784.0
accuracy,,,0.2296035242290749,5675.0
macro avg,0.2506940514834331,0.2798744272767072,0.21359179875745346,5675.0
weighted avg,0.28625739262037236,0.2296035242290749,0.22381460385121468,5675.0
