,precision,recall,f1-score,support
blues,0.2657718120805369,0.21382289416846653,0.236983842010772,926.0
country,0.3786945812807882,0.5476402493321461,0.44776119402985076,1123.0
hip hop,0.42718446601941745,0.4444444444444444,0.4356435643564356,198.0
jazz,0.2627118644067797,0.25444596443228457,0.2585128561501043,731.0
pop,0.3536,0.31616595135908443,0.33383685800604235,1398.0
reggae,0.341991341991342,0.3067961165048544,0.323439099283521,515.0
rock,0.3264705882352941,0.28316326530612246,0.30327868852459017,784.0
accuracy,,,0.3363876651982379,5675.0
macro avg,0.3366320934305941,0.33806841222105755,0.33420801462304517,5675.0
weighted avg,0.3302933730784343,0.3363876651982379,0.3292614515616805,5675.0
