,precision,recall,f1-score,support
blues,0.2355263157894737,0.19330453563714903,0.21233689205219455,926.0
country,0.38990426457789384,0.39893143365983974,0.3943661971830986,1123.0
hip hop,0.5540540540540541,0.41414141414141414,0.47398843930635837,198.0
jazz,0.2235722964763062,0.25170998632010944,0.23680823680823684,731.0
pop,0.3161622665808113,0.3512160228898426,0.3327685530328702,1398.0
reggae,0.34688995215311,0.2815533980582524,0.3108252947481243,515.0
rock,0.2766990291262136,0.29081632653061223,0.2835820895522388,784.0
accuracy,,,0.3096035242290749,5675.0
macro avg,0.3346868826796947,0.3116675881767457,0.3206679575261603,5675.0
weighted avg,0.31130733424540746,0.3096035242290749,0.3090867939578192,5675.0
