,precision,recall,f1-score,support
blues,0.3045507584597433,0.2818574514038877,0.2927650028042625,926.0
country,0.4339339339339339,0.5146927871772039,0.47087576374745416,1123.0
hip hop,0.9148936170212766,0.43434343434343436,0.589041095890411,198.0
jazz,0.35684647302904565,0.23529411764705882,0.2835943940643034,731.0
pop,0.3296341964652692,0.5736766809728183,0.41868963717045155,1398.0
reggae,0.5357142857142857,0.17475728155339806,0.2635431918008785,515.0
rock,0.4563106796116505,0.1798469387755102,0.25800548947849955,784.0
accuracy,,,0.37533039647577093,5675.0
macro avg,0.4759834206050293,0.3420669559819016,0.36807351070803723,5675.0
weighted avg,0.40630741052208147,0.37533039647577093,0.36073315852428767,5675.0
